Table 1: n>6, FLOPS<600 (n  L  H  FLOPS)
 22   2    4    216
 22   2    5    280
 22   2    6    348
 22   2    7    420
 22   2    8    496
 22   2    9    576
 22   3    2    108
 22   3    3    174
 22   3    4    248
 22   3    5    330
 22   3    6    420
 22   3    7    518
 22   4    2    116
 22   4    3    192
 22   4    4    280
 22   4    5    380
 22   4    6    492
 22   5    2    124
 22   5    3    210
 22   5    4    312
 22   5    5    430
 22   5    6    564
 22   6    2    132
 22   6    3    228
 22   6    4    344
 22   6    5    480
 22   7    2    140
 22   7    3    246
 22   7    4    376
 22   7    5    530
 22   8    2    148
 22   8    3    264
 22   8    4    408
 22   8    5    580
 22   9    2    156
 22   9    3    282
 22   9    4    440
 22  10    2    164
 22  10    3    300
 22  10    4    472
 22  11    2    172
 22  11    3    318
 22  11    4    504
 22  12    2    180
 22  12    3    336
 22  12    4    536
 22  13    2    188
 22  13    3    354
 22  13    4    568
 22  14    2    196
 22  14    3    372
 22  15    2    204
 22  15    3    390
 22  16    2    212
 22  16    3    408
 22  17    2    220
 22  17    3    426
 22  18    2    228
 22  18    3    444
 22  19    2    236
 22  19    3    462
 22  20    2    244
 22  20    3    480
 22  21    2    252
 22  21    3    498
 22  22    2    260
 22  22    3    516
 22  23    2    268
 22  23    3    534
 22  24    2    276
 22  24    3    552
 22  25    2    284
 22  25    3    570
 22  26    2    292
 22  26    3    588
 22  27    2    300
 22  28    2    308
 22  29    2    316
 22  30    2    324
 22  31    2    332
 22  32    2    340
 22  33    2    348
 22  34    2    356
 22  35    2    364
 22  36    2    372
 22  37    2    380
 22  38    2    388
 22  39    2    396
 22  40    2    404
 22  41    2    412
 22  42    2    420
 22  43    2    428
 22  44    2    436
 22  45    2    444
 22  46    2    452
 22  47    2    460
 22  48    2    468
 22  49    2    476
 22  50    2    484
 22  51    2    492
 22  52    2    500
 22  53    2    508
 22  54    2    516
 22  55    2    524
 22  56    2    532
 22  57    2    540
 22  58    2    548
 22  59    2    556
 22  60    2    564
 22  61    2    572
 22  62    2    580
 22  63    2    588
 22  64    2    596
 23   1    2     96
 23   1    3    144
 23   1    4    192
 23   1    5    240
 23   1    6    288
 23   1    7    336
 23   1    8    384
 23   1    9    432
 23   1   10    480
 23   1   11    528
 23   1   12    576
 23   2    2    104
 23   2    3    162
 23   2    4    224
 23   2    5    290
 23   2    6    360
 23   2    7    434
 23   2    8    512
 23   2    9    594
 23   3    2    112
 23   3    3    180
 23   3    4    256
 23   3    5    340
 23   3    6    432
 23   3    7    532
 23   4    2    120
 23   4    3    198
 23   4    4    288
 23   4    5    390
 23   4    6    504
 23   5    2    128
 23   5    3    216
 23   5    4    320
 23   5    5    440
 23   5    6    576
 23   6    2    136
 23   6    3    234
 23   6    4    352
 23   6    5    490
 23   7    2    144
 23   7    3    252
 23   7    4    384
 23   7    5    540
 23   8    2    152
 23   8    3    270
 23   8    4    416
 23   8    5    590
 23   9    2    160
 23   9    3    288
 23   9    4    448
 23  10    2    168
 23  10    3    306
 23  10    4    480
 23  11    2    176
 23  11    3    324
 23  11    4    512
 23  12    2    184
 23  12    3    342
 23  12    4    544
 23  13    2    192
 23  13    3    360
 23  13    4    576
 23  14    2    200
 23  14    3    378
 23  15    2    208
 23  15    3    396
 23  16    2    216
 23  16    3    414
 23  17    2    224
 23  17    3    432
 23  18    2    232
 23  18    3    450
 23  19    2    240
 23  19    3    468
 23  20    2    248
 23  20    3    486
 23  21    2    256
 23  21    3    504
 23  22    2    264
 23  22    3    522
 23  23    2    272
 23  23    3    540
 23  24    2    280
 23  24    3    558
 23  25    2    288
 23  25    3    576
 23  26    2    296
 23  26    3    594
 23  27    2    304
 23  28    2    312
 23  29    2    320
 23  30    2    328
 23  31    2    336
 23  32    2    344
 23  33    2    352
 23  34    2    360
 23  35    2    368
 23  36    2    376
 23  37    2    384
 23  38    2    392
 23  39    2    400
 23  40    2    408
 23  41    2    416
 23  42    2    424
 23  43    2    432
 23  44    2    440
 23  45    2    448
 23  46    2    456
 23  47    2    464
 23  48    2    472
 23  49    2    480
 23  50    2    488
 23  51    2    496
 23  52    2    504
 23  53    2    512
 23  54    2    520
 23  55    2    528
 23  56    2    536
 23  57    2    544
 23  58    2    552
 23  59    2    560
 23  60    2    568
 23  61    2    576
 23  62    2    584
 23  63    2    592
 24   1    2    100
 24   1    3    150
 24   1    4    200
 24   1    5    250
 24   1    6    300
 24   1    7    350
 24   1    8    400
 24   1    9    450
 24   1   10    500
 24   1   11    550
 24   2    2    108
 24   2    3    168
 24   2    4    232
 24   2    5    300
 24   2    6    372
 24   2    7    448
 24   2    8    528
 24   3    2    116
 24   3    3    186
 24   3    4    264
 24   3    5    350
 24   3    6    444
 24   3    7    546
 24   4    2    124
 24   4    3    204
 24   4    4    296
 24   4    5    400
 24   4    6    516
 24   5    2    132
 24   5    3    222
 24   5    4    328
 24   5    5    450
 24   5    6    588
 24   6    2    140
 24   6    3    240
 24   6    4    360
 24   6    5    500
 24   7    2    148
 24   7    3    258
 24   7    4    392
 24   7    5    550
 24   8    2    156
 24   8    3    276
 24   8    4    424
 24   9    2    164
 24   9    3    294
 24   9    4    456
 24  10    2    172
 24  10    3    312
 24  10    4    488
 24  11    2    180
 24  11    3    330
 24  11    4    520
 24  12    2    188
 24  12    3    348
 24  12    4    552
 24  13    2    196
 24  13    3    366
 24  13    4    584
 24  14    2    204
 24  14    3    384
 24  15    2    212
 24  15    3    402
 24  16    2    220
 24  16    3    420
 24  17    2    228
 24  17    3    438
 24  18    2    236
 24  18    3    456
 24  19    2    244
 24  19    3    474
 24  20    2    252
 24  20    3    492
 24  21    2    260
 24  21    3    510
 24  22    2    268
 24  22    3    528
 24  23    2    276
 24  23    3    546
 24  24    2    284
 24  24    3    564
 24  25    2    292
 24  25    3    582
 24  26    2    300
 24  27    2    308
 24  28    2    316
 24  29    2    324
 24  30    2    332
 24  31    2    340
 24  32    2    348
 24  33    2    356
 24  34    2    364
 24  35    2    372
 24  36    2    380
 24  37    2    388
 24  38    2    396
 24  39    2    404
 24  40    2    412
 24  41    2    420
 24  42    2    428
 24  43    2    436
 24  44    2    444
 24  45    2    452
 24  46    2    460
 24  47    2    468
 24  48    2    476
 24  49    2    484
 24  50    2    492
 24  51    2    500
 24  52    2    508
 24  53    2    516
 24  54    2    524
 24  55    2    532
 24  56    2    540
 24  57    2    548
 24  58    2    556
 24  59    2    564
 24  60    2    572
 24  61    2    580
 24  62    2    588
 24  63    2    596
 25   1    2    104
 25   1    3    156
 25   1    4    208
 25   1    5    260
 25   1    6    312
 25   1    7    364
 25   1    8    416
 25   1    9    468
 25   1   10    520
 25   1   11    572
 25   2    2    112
 25   2    3    174
 25   2    4    240
 25   2    5    310
 25   2    6    384
 25   2    7    462
 25   2    8    544
 25   3    2    120
 25   3    3    192
 25   3    4    272
 25   3    5    360
 25   3    6    456
 25   3    7    560
 25   4    2    128
 25   4    3    210
 25   4    4    304
 25   4    5    410
 25   4    6    528
 25   5    2    136
 25   5    3    228
 25   5    4    336
 25   5    5    460
 25   6    2    144
 25   6    3    246
 25   6    4    368
 25   6    5    510
 25   7    2    152
 25   7    3    264
 25   7    4    400
 25   7    5    560
 25   8    2    160
 25   8    3    282
 25   8    4    432
 25   9    2    168
 25   9    3    300
 25   9    4    464
 25  10    2    176
 25  10    3    318
 25  10    4    496
 25  11    2    184
 25  11    3    336
 25  11    4    528
 25  12    2    192
 25  12    3    354
 25  12    4    560
 25  13    2    200
 25  13    3    372
 25  13    4    592
 25  14    2    208
 25  14    3    390
 25  15    2    216
 25  15    3    408
 25  16    2    224
 25  16    3    426
 25  17    2    232
 25  17    3    444
 25  18    2    240
 25  18    3    462
 25  19    2    248
 25  19    3    480
 25  20    2    256
 25  20    3    498
 25  21    2    264
 25  21    3    516
 25  22    2    272
 25  22    3    534
 25  23    2    280
 25  23    3    552
 25  24    2    288
 25  24    3    570
 25  25    2    296
 25  25    3    588
 25  26    2    304
 25  27    2    312
 25  28    2    320
 25  29    2    328
 25  30    2    336
 25  31    2    344
 25  32    2    352
 25  33    2    360
 25  34    2    368
 25  35    2    376
 25  36    2    384
 25  37    2    392
 25  38    2    400
 25  39    2    408
 25  40    2    416
 25  41    2    424
 25  42    2    432
 25  43    2    440
 25  44    2    448
 25  45    2    456
 25  46    2    464
 25  47    2    472
 25  48    2    480
 25  49    2    488
 25  50    2    496
 25  51    2    504
 25  52    2    512
 25  53    2    520
 25  54    2    528
 25  55    2    536
 25  56    2    544
 25  57    2    552
 25  58    2    560
 25  59    2    568
 25  60    2    576
 25  61    2    584
 25  62    2    592
 26   1    2    108
 26   1    3    162
 26   1    4    216
 26   1    5    270
 26   1    6    324
 26   1    7    378
 26   1    8    432
 26   1    9    486
 26   1   10    540
 26   1   11    594
 26   2    2    116
 26   2    3    180
 26   2    4    248
 26   2    5    320
 26   2    6    396
 26   2    7    476
 26   2    8    560
 26   3    2    124
 26   3    3    198
 26   3    4    280
 26   3    5    370
 26   3    6    468
 26   3    7    574
 26   4    2    132
 26   4    3    216
 26   4    4    312
 26   4    5    420
 26   4    6    540
 26   5    2    140
 26   5    3    234
 26   5    4    344
 26   5    5    470
 26   6    2    148
 26   6    3    252
 26   6    4    376
 26   6    5    520
 26   7    2    156
 26   7    3    270
 26   7    4    408
 26   7    5    570
 26   8    2    164
 26   8    3    288
 26   8    4    440
 26   9    2    172
 26   9    3    306
 26   9    4    472
 26  10    2    180
 26  10    3    324
 26  10    4    504
 26  11    2    188
 26  11    3    342
 26  11    4    536
 26  12    2    196
 26  12    3    360
 26  12    4    568
 26  13    2    204
 26  13    3    378
 26  14    2    212
 26  14    3    396
 26  15    2    220
 26  15    3    414
 26  16    2    228
 26  16    3    432
 26  17    2    236
 26  17    3    450
 26  18    2    244
 26  18    3    468
 26  19    2    252
 26  19    3    486
 26  20    2    260
 26  20    3    504
 26  21    2    268
 26  21    3    522
 26  22    2    276
 26  22    3    540
 26  23    2    284
 26  23    3    558
 26  24    2    292
 26  24    3    576
 26  25    2    300
 26  25    3    594
 26  26    2    308
 26  27    2    316
 26  28    2    324
 26  29    2    332
 26  30    2    340
 26  31    2    348
 26  32    2    356
 26  33    2    364
 26  34    2    372
 26  35    2    380
 26  36    2    388
 26  37    2    396
 26  38    2    404
 26  39    2    412
 26  40    2    420
 26  41    2    428
 26  42    2    436
 26  43    2    444
 26  44    2    452
 26  45    2    460
 26  46    2    468
 26  47    2    476
 26  48    2    484
 26  49    2    492
 26  50    2    500
 26  51    2    508
 26  52    2    516
 26  53    2    524
 26  54    2    532
 26  55    2    540
 26  56    2    548
 26  57    2    556
 26  58    2    564
 26  59    2    572
 26  60    2    580
 26  61    2    588
 26  62    2    596
 27   1    2    112
 27   1    3    168
 27   1    4    224
 27   1    5    280
 27   1    6    336
 27   1    7    392
 27   1    8    448
 27   1    9    504
 27   1   10    560
 27   2    2    120
 27   2    3    186
 27   2    4    256
 27   2    5    330
 27   2    6    408
 27   2    7    490
 27   2    8    576
 27   3    2    128
 27   3    3    204
 27   3    4    288
 27   3    5    380
 27   3    6    480
 27   3    7    588
 27   4    2    136
 27   4    3    222
 27   4    4    320
 27   4    5    430
 27   4    6    552
 27   5    2    144
 27   5    3    240
 27   5    4    352
 27   5    5    480
 27   6    2    152
 27   6    3    258
 27   6    4    384
 27   6    5    530
 27   7    2    160
 27   7    3    276
 27   7    4    416
 27   7    5    580
 27   8    2    168
 27   8    3    294
 27   8    4    448
 27   9    2    176
 27   9    3    312
 27   9    4    480
 27  10    2    184
 27  10    3    330
 27  10    4    512
 27  11    2    192
 27  11    3    348
 27  11    4    544
 27  12    2    200
 27  12    3    366
 27  12    4    576
 27  13    2    208
 27  13    3    384
 27  14    2    216
 27  14    3    402
 27  15    2    224
 27  15    3    420
 27  16    2    232
 27  16    3    438
 27  17    2    240
 27  17    3    456
 27  18    2    248
 27  18    3    474
 27  19    2    256
 27  19    3    492
 27  20    2    264
 27  20    3    510
 27  21    2    272
 27  21    3    528
 27  22    2    280
 27  22    3    546
 27  23    2    288
 27  23    3    564
 27  24    2    296
 27  24    3    582
 27  25    2    304
 27  26    2    312
 27  27    2    320
 27  28    2    328
 27  29    2    336
 27  30    2    344
 27  31    2    352
 27  32    2    360
 27  33    2    368
 27  34    2    376
 27  35    2    384
 27  36    2    392
 27  37    2    400
 27  38    2    408
 27  39    2    416
 27  40    2    424
 27  41    2    432
 27  42    2    440
 27  43    2    448
 27  44    2    456
 27  45    2    464
 27  46    2    472
 27  47    2    480
 27  48    2    488
 27  49    2    496
 27  50    2    504
 27  51    2    512
 27  52    2    520
 27  53    2    528
 27  54    2    536
 27  55    2    544
 27  56    2    552
 27  57    2    560
 27  58    2    568
 27  59    2    576
 27  60    2    584
 27  61    2    592
 28   1    2    116
 28   1    3    174
 28   1    4    232
 28   1    5    290
 28   1    6    348
 28   1    7    406
 28   1    8    464
 28   1    9    522
 28   1   10    580
 28   2    2    124
 28   2    3    192
 28   2    4    264
 28   2    5    340
 28   2    6    420
 28   2    7    504
 28   2    8    592
 28   3    2    132
 28   3    3    210
 28   3    4    296
 28   3    5    390
 28   3    6    492
 28   4    2    140
 28   4    3    228
 28   4    4    328
 28   4    5    440
 28   4    6    564
 28   5    2    148
 28   5    3    246
 28   5    4    360
 28   5    5    490
 28   6    2    156
 28   6    3    264
 28   6    4    392
 28   6    5    540
 28   7    2    164
 28   7    3    282
 28   7    4    424
 28   7    5    590
 28   8    2    172
 28   8    3    300
 28   8    4    456
 28   9    2    180
 28   9    3    318
 28   9    4    488
 28  10    2    188
 28  10    3    336
 28  10    4    520
 28  11    2    196
 28  11    3    354
 28  11    4    552
 28  12    2    204
 28  12    3    372
 28  12    4    584
 28  13    2    212
 28  13    3    390
 28  14    2    220
 28  14    3    408
 28  15    2    228
 28  15    3    426
 28  16    2    236
 28  16    3    444
 28  17    2    244
 28  17    3    462
 28  18    2    252
 28  18    3    480
 28  19    2    260
 28  19    3    498
 28  20    2    268
 28  20    3    516
 28  21    2    276
 28  21    3    534
 28  22    2    284
 28  22    3    552
 28  23    2    292
 28  23    3    570
 28  24    2    300
 28  24    3    588
 28  25    2    308
 28  26    2    316
 28  27    2    324
 28  28    2    332
 28  29    2    340
 28  30    2    348
 28  31    2    356
 28  32    2    364
 28  33    2    372
 28  34    2    380
 28  35    2    388
 28  36    2    396
 28  37    2    404
 28  38    2    412
 28  39    2    420
 28  40    2    428
 28  41    2    436
 28  42    2    444
 28  43    2    452
 28  44    2    460
 28  45    2    468
 28  46    2    476
 28  47    2    484
 28  48    2    492
 28  49    2    500
 28  50    2    508
 28  51    2    516
 28  52    2    524
 28  53    2    532
 28  54    2    540
 28  55    2    548
 28  56    2    556
 28  57    2    564
 28  58    2    572
 28  59    2    580
 28  60    2    588
 28  61    2    596
 29   1    2    120
 29   1    3    180
 29   1    4    240
 29   1    5    300
 29   1    6    360
 29   1    7    420
 29   1    8    480
 29   1    9    540
 29   2    2    128
 29   2    3    198
 29   2    4    272
 29   2    5    350
 29   2    6    432
 29   2    7    518
 29   3    2    136
 29   3    3    216
 29   3    4    304
 29   3    5    400
 29   3    6    504
 29   4    2    144
 29   4    3    234
 29   4    4    336
 29   4    5    450
 29   4    6    576
 29   5    2    152
 29   5    3    252
 29   5    4    368
 29   5    5    500
 29   6    2    160
 29   6    3    270
 29   6    4    400
 29   6    5    550
 29   7    2    168
 29   7    3    288
 29   7    4    432
 29   8    2    176
 29   8    3    306
 29   8    4    464
 29   9    2    184
 29   9    3    324
 29   9    4    496
 29  10    2    192
 29  10    3    342
 29  10    4    528
 29  11    2    200
 29  11    3    360
 29  11    4    560
 29  12    2    208
 29  12    3    378
 29  12    4    592
 29  13    2    216
 29  13    3    396
 29  14    2    224
 29  14    3    414
 29  15    2    232
 29  15    3    432
 29  16    2    240
 29  16    3    450
 29  17    2    248
 29  17    3    468
 29  18    2    256
 29  18    3    486
 29  19    2    264
 29  19    3    504
 29  20    2    272
 29  20    3    522
 29  21    2    280
 29  21    3    540
 29  22    2    288
 29  22    3    558
 29  23    2    296
 29  23    3    576
 29  24    2    304
 29  24    3    594
 29  25    2    312
 29  26    2    320
 29  27    2    328
 29  28    2    336
 29  29    2    344
 29  30    2    352
 29  31    2    360
 29  32    2    368
 29  33    2    376
 29  34    2    384
 29  35    2    392
 29  36    2    400
 29  37    2    408
 29  38    2    416
 29  39    2    424
 29  40    2    432
 29  41    2    440
 29  42    2    448
 29  43    2    456
 29  44    2    464
 29  45    2    472
 29  46    2    480
 29  47    2    488
 29  48    2    496
 29  49    2    504
 29  50    2    512
 29  51    2    520
 29  52    2    528
 29  53    2    536
 29  54    2    544
 29  55    2    552
 29  56    2    560
 29  57    2    568
 29  58    2    576
 29  59    2    584
 29  60    2    592
 30   1    2    124
 30   1    3    186
 30   1    4    248
 30   1    5    310
 30   1    6    372
 30   1    7    434
 30   1    8    496
 30   1    9    558
 30   2    2    132
 30   2    3    204
 30   2    4    280
 30   2    5    360
 30   2    6    444
 30   2    7    532
 30   3    2    140
 30   3    3    222
 30   3    4    312
 30   3    5    410
 30   3    6    516
 30   4    2    148
 30   4    3    240
 30   4    4    344
 30   4    5    460
 30   4    6    588
 30   5    2    156
 30   5    3    258
 30   5    4    376
 30   5    5    510
 30   6    2    164
 30   6    3    276
 30   6    4    408
 30   6    5    560
 30   7    2    172
 30   7    3    294
 30   7    4    440
 30   8    2    180
 30   8    3    312
 30   8    4    472
 30   9    2    188
 30   9    3    330
 30   9    4    504
 30  10    2    196
 30  10    3    348
 30  10    4    536
 30  11    2    204
 30  11    3    366
 30  11    4    568
 30  12    2    212
 30  12    3    384
 30  13    2    220
 30  13    3    402
 30  14    2    228
 30  14    3    420
 30  15    2    236
 30  15    3    438
 30  16    2    244
 30  16    3    456
 30  17    2    252
 30  17    3    474
 30  18    2    260
 30  18    3    492
 30  19    2    268
 30  19    3    510
 30  20    2    276
 30  20    3    528
 30  21    2    284
 30  21    3    546
 30  22    2    292
 30  22    3    564
 30  23    2    300
 30  23    3    582
 30  24    2    308
 30  25    2    316
 30  26    2    324
 30  27    2    332
 30  28    2    340
 30  29    2    348
 30  30    2    356
 30  31    2    364
 30  32    2    372
 30  33    2    380
 30  34    2    388
 30  35    2    396
 30  36    2    404
 30  37    2    412
 30  38    2    420
 30  39    2    428
 30  40    2    436
 30  41    2    444
 30  42    2    452
 30  43    2    460
 30  44    2    468
 30  45    2    476
 30  46    2    484
 30  47    2    492
 30  48    2    500
 30  49    2    508
 30  50    2    516
 30  51    2    524
 30  52    2    532
 30  53    2    540
 30  54    2    548
 30  55    2    556
 30  56    2    564
 30  57    2    572
 30  58    2    580
 30  59    2    588
 30  60    2    596
 31   1    2    128
 31   1    3    192
 31   1    4    256
 31   1    5    320
 31   1    6    384
 31   1    7    448
 31   1    8    512
 31   1    9    576
 31   2    2    136
 31   2    3    210
 31   2    4    288
 31   2    5    370
 31   2    6    456
 31   2    7    546
 31   3    2    144
 31   3    3    228
 31   3    4    320
 31   3    5    420
 31   3    6    528
 31   4    2    152
 31   4    3    246
 31   4    4    352
 31   4    5    470
 31   5    2    160
 31   5    3    264
 31   5    4    384
 31   5    5    520
 31   6    2    168
 31   6    3    282
 31   6    4    416
 31   6    5    570
 31   7    2    176
 31   7    3    300
 31   7    4    448
 31   8    2    184
 31   8    3    318
 31   8    4    480
 31   9    2    192
 31   9    3    336
 31   9    4    512
 31  10    2    200
 31  10    3    354
 31  10    4    544
 31  11    2    208
 31  11    3    372
 31  11    4    576
 31  12    2    216
 31  12    3    390
 31  13    2    224
 31  13    3    408
 31  14    2    232
 31  14    3    426
 31  15    2    240
 31  15    3    444
 31  16    2    248
 31  16    3    462
 31  17    2    256
 31  17    3    480
 31  18    2    264
 31  18    3    498
 31  19    2    272
 31  19    3    516
 31  20    2    280
 31  20    3    534
 31  21    2    288
 31  21    3    552
 31  22    2    296
 31  22    3    570
 31  23    2    304
 31  23    3    588
 31  24    2    312
 31  25    2    320
 31  26    2    328
 31  27    2    336
 31  28    2    344
 31  29    2    352
 31  30    2    360
 31  31    2    368
 31  32    2    376
 31  33    2    384
 31  34    2    392
 31  35    2    400
 31  36    2    408
 31  37    2    416
 31  38    2    424
 31  39    2    432
 31  40    2    440
 31  41    2    448
 31  42    2    456
 31  43    2    464
 31  44    2    472
 31  45    2    480
 31  46    2    488
 31  47    2    496
 31  48    2    504
 31  49    2    512
 31  50    2    520
 31  51    2    528
 31  52    2    536
 31  53    2    544
 31  54    2    552
 31  55    2    560
 31  56    2    568
 31  57    2    576
 31  58    2    584
 31  59    2    592
 32   1    2    132
 32   1    3    198
 32   1    4    264
 32   1    5    330
 32   1    6    396
 32   1    7    462
 32   1    8    528
 32   1    9    594
 32   2    2    140
 32   2    3    216
 32   2    4    296
 32   2    5    380
 32   2    6    468
 32   2    7    560
 32   3    2    148
 32   3    3    234
 32   3    4    328
 32   3    5    430
 32   3    6    540
 32   4    2    156
 32   4    3    252
 32   4    4    360
 32   4    5    480
 32   5    2    164
 32   5    3    270
 32   5    4    392
 32   5    5    530
 32   6    2    172
 32   6    3    288
 32   6    4    424
 32   6    5    580
 32   7    2    180
 32   7    3    306
 32   7    4    456
 32   8    2    188
 32   8    3    324
 32   8    4    488
 32   9    2    196
 32   9    3    342
 32   9    4    520
 32  10    2    204
 32  10    3    360
 32  10    4    552
 32  11    2    212
 32  11    3    378
 32  11    4    584
 32  12    2    220
 32  12    3    396
 32  13    2    228
 32  13    3    414
 32  14    2    236
 32  14    3    432
 32  15    2    244
 32  15    3    450
 32  16    2    252
 32  16    3    468
 32  17    2    260
 32  17    3    486
 32  18    2    268
 32  18    3    504
 32  19    2    276
 32  19    3    522
 32  20    2    284
 32  20    3    540
 32  21    2    292
 32  21    3    558
 32  22    2    300
 32  22    3    576
 32  23    2    308
 32  23    3    594
 32  24    2    316
 32  25    2    324
 32  26    2    332
 32  27    2    340
 32  28    2    348
 32  29    2    356
 32  30    2    364
 32  31    2    372
 32  32    2    380
 32  33    2    388
 32  34    2    396
 32  35    2    404
 32  36    2    412
 32  37    2    420
 32  38    2    428
 32  39    2    436
 32  40    2    444
 32  41    2    452
 32  42    2    460
 32  43    2    468
 32  44    2    476
 32  45    2    484
 32  46    2    492
 32  47    2    500
 32  48    2    508
 32  49    2    516
 32  50    2    524
 32  51    2    532
 32  52    2    540
 32  53    2    548
 32  54    2    556
 32  55    2    564
 32  56    2    572
 32  57    2    580
 32  58    2    588
 32  59    2    596
 33   1    2    136
 33   1    3    204
 33   1    4    272
 33   1    5    340
 33   1    6    408
 33   1    7    476
 33   1    8    544
 33   2    2    144
 33   2    3    222
 33   2    4    304
 33   2    5    390
 33   2    6    480
 33   2    7    574
 33   3    2    152
 33   3    3    240
 33   3    4    336
 33   3    5    440
 33   3    6    552
 33   4    2    160
 33   4    3    258
 33   4    4    368
 33   4    5    490
 33   5    2    168
 33   5    3    276
 33   5    4    400
 33   5    5    540
 33   6    2    176
 33   6    3    294
 33   6    4    432
 33   6    5    590
 33   7    2    184
 33   7    3    312
 33   7    4    464
 33   8    2    192
 33   8    3    330
 33   8    4    496
 33   9    2    200
 33   9    3    348
 33   9    4    528
 33  10    2    208
 33  10    3    366
 33  10    4    560
 33  11    2    216
 33  11    3    384
 33  11    4    592
 33  12    2    224
 33  12    3    402
 33  13    2    232
 33  13    3    420
 33  14    2    240
 33  14    3    438
 33  15    2    248
 33  15    3    456
 33  16    2    256
 33  16    3    474
 33  17    2    264
 33  17    3    492
 33  18    2    272
 33  18    3    510
 33  19    2    280
 33  19    3    528
 33  20    2    288
 33  20    3    546
 33  21    2    296
 33  21    3    564
 33  22    2    304
 33  22    3    582
 33  23    2    312
 33  24    2    320
 33  25    2    328
 33  26    2    336
 33  27    2    344
 33  28    2    352
 33  29    2    360
 33  30    2    368
 33  31    2    376
 33  32    2    384
 33  33    2    392
 33  34    2    400
 33  35    2    408
 33  36    2    416
 33  37    2    424
 33  38    2    432
 33  39    2    440
 33  40    2    448
 33  41    2    456
 33  42    2    464
 33  43    2    472
 33  44    2    480
 33  45    2    488
 33  46    2    496
 33  47    2    504
 33  48    2    512
 33  49    2    520
 33  50    2    528
 33  51    2    536
 33  52    2    544
 33  53    2    552
 33  54    2    560
 33  55    2    568
 33  56    2    576
 33  57    2    584
 33  58    2    592
 34   1    2    140
 34   1    3    210
 34   1    4    280
 34   1    5    350
 34   1    6    420
 34   1    7    490
 34   1    8    560
 34   2    2    148
 34   2    3    228
 34   2    4    312
 34   2    5    400
 34   2    6    492
 34   2    7    588
 34   3    2    156
 34   3    3    246
 34   3    4    344
 34   3    5    450
 34   3    6    564
 34   4    2    164
 34   4    3    264
 34   4    4    376
 34   4    5    500
 34   5    2    172
 34   5    3    282
 34   5    4    408
 34   5    5    550
 34   6    2    180
 34   6    3    300
 34   6    4    440
 34   7    2    188
 34   7    3    318
 34   7    4    472
 34   8    2    196
 34   8    3    336
 34   8    4    504
 34   9    2    204
 34   9    3    354
 34   9    4    536
 34  10    2    212
 34  10    3    372
 34  10    4    568
 34  11    2    220
 34  11    3    390
 34  12    2    228
 34  12    3    408
 34  13    2    236
 34  13    3    426
 34  14    2    244
 34  14    3    444
 34  15    2    252
 34  15    3    462
 34  16    2    260
 34  16    3    480
 34  17    2    268
 34  17    3    498
 34  18    2    276
 34  18    3    516
 34  19    2    284
 34  19    3    534
 34  20    2    292
 34  20    3    552
 34  21    2    300
 34  21    3    570
 34  22    2    308
 34  22    3    588
 34  23    2    316
 34  24    2    324
 34  25    2    332
 34  26    2    340
 34  27    2    348
 34  28    2    356
 34  29    2    364
 34  30    2    372
 34  31    2    380
 34  32    2    388
 34  33    2    396
 34  34    2    404
 34  35    2    412
 34  36    2    420
 34  37    2    428
 34  38    2    436
 34  39    2    444
 34  40    2    452
 34  41    2    460
 34  42    2    468
 34  43    2    476
 34  44    2    484
 34  45    2    492
 34  46    2    500
 34  47    2    508
 34  48    2    516
 34  49    2    524
 34  50    2    532
 34  51    2    540
 34  52    2    548
 34  53    2    556
 34  54    2    564
 34  55    2    572
 34  56    2    580
 34  57    2    588
 34  58    2    596
 35   1    2    144
 35   1    3    216
 35   1    4    288
 35   1    5    360
 35   1    6    432
 35   1    7    504
 35   1    8    576
 35   2    2    152
 35   2    3    234
 35   2    4    320
 35   2    5    410
 35   2    6    504
 35   3    2    160
 35   3    3    252
 35   3    4    352
 35   3    5    460
 35   3    6    576
 35   4    2    168
 35   4    3    270
 35   4    4    384
 35   4    5    510
 35   5    2    176
 35   5    3    288
 35   5    4    416
 35   5    5    560
 35   6    2    184
 35   6    3    306
 35   6    4    448
 35   7    2    192
 35   7    3    324
 35   7    4    480
 35   8    2    200
 35   8    3    342
 35   8    4    512
 35   9    2    208
 35   9    3    360
 35   9    4    544
 35  10    2    216
 35  10    3    378
 35  10    4    576
 35  11    2    224
 35  11    3    396
 35  12    2    232
 35  12    3    414
 35  13    2    240
 35  13    3    432
 35  14    2    248
 35  14    3    450
 35  15    2    256
 35  15    3    468
 35  16    2    264
 35  16    3    486
 35  17    2    272
 35  17    3    504
 35  18    2    280
 35  18    3    522
 35  19    2    288
 35  19    3    540
 35  20    2    296
 35  20    3    558
 35  21    2    304
 35  21    3    576
 35  22    2    312
 35  22    3    594
 35  23    2    320
 35  24    2    328
 35  25    2    336
 35  26    2    344
 35  27    2    352
 35  28    2    360
 35  29    2    368
 35  30    2    376
 35  31    2    384
 35  32    2    392
 35  33    2    400
 35  34    2    408
 35  35    2    416
 35  36    2    424
 35  37    2    432
 35  38    2    440
 35  39    2    448
 35  40    2    456
 35  41    2    464
 35  42    2    472
 35  43    2    480
 35  44    2    488
 35  45    2    496
 35  46    2    504
 35  47    2    512
 35  48    2    520
 35  49    2    528
 35  50    2    536
 35  51    2    544
