Table 1: n>6, FLOPS<600 (n  L  H  FLOPS)
  8  63    2    532
  8  64    2    540
  8  65    2    548
  8  66    2    556
  8  67    2    564
  8  68    2    572
  8  69    2    580
  8  70    2    588
  8  71    2    596
  9   1    2     40
  9   1    3     60
  9   1    4     80
  9   1    5    100
  9   1    6    120
  9   1    7    140
  9   1    8    160
  9   1    9    180
  9   1   10    200
  9   1   11    220
  9   1   12    240
  9   1   13    260
  9   1   14    280
  9   1   15    300
  9   1   16    320
  9   1   17    340
  9   1   18    360
  9   1   19    380
  9   1   20    400
  9   1   21    420
  9   1   22    440
  9   1   23    460
  9   1   24    480
  9   1   25    500
  9   1   26    520
  9   1   27    540
  9   1   28    560
  9   1   29    580
  9   2    2     48
  9   2    3     78
  9   2    4    112
  9   2    5    150
  9   2    6    192
  9   2    7    238
  9   2    8    288
  9   2    9    342
  9   2   10    400
  9   2   11    462
  9   2   12    528
  9   2   13    598
  9   3    2     56
  9   3    3     96
  9   3    4    144
  9   3    5    200
  9   3    6    264
  9   3    7    336
  9   3    8    416
  9   3    9    504
  9   4    2     64
  9   4    3    114
  9   4    4    176
  9   4    5    250
  9   4    6    336
  9   4    7    434
  9   4    8    544
  9   5    2     72
  9   5    3    132
  9   5    4    208
  9   5    5    300
  9   5    6    408
  9   5    7    532
  9   6    2     80
  9   6    3    150
  9   6    4    240
  9   6    5    350
  9   6    6    480
  9   7    2     88
  9   7    3    168
  9   7    4    272
  9   7    5    400
  9   7    6    552
  9   8    2     96
  9   8    3    186
  9   8    4    304
  9   8    5    450
  9   9    2    104
  9   9    3    204
  9   9    4    336
  9   9    5    500
  9  10    2    112
  9  10    3    222
  9  10    4    368
  9  10    5    550
  9  11    2    120
  9  11    3    240
  9  11    4    400
  9  12    2    128
  9  12    3    258
  9  12    4    432
  9  13    2    136
  9  13    3    276
  9  13    4    464
  9  14    2    144
  9  14    3    294
  9  14    4    496
  9  15    2    152
  9  15    3    312
  9  15    4    528
  9  16    2    160
  9  16    3    330
  9  16    4    560
  9  17    2    168
  9  17    3    348
  9  17    4    592
  9  18    2    176
  9  18    3    366
  9  19    2    184
  9  19    3    384
  9  20    2    192
  9  20    3    402
  9  21    2    200
  9  21    3    420
  9  22    2    208
  9  22    3    438
  9  23    2    216
  9  23    3    456
  9  24    2    224
  9  24    3    474
  9  25    2    232
  9  25    3    492
  9  26    2    240
  9  26    3    510
  9  27    2    248
  9  27    3    528
  9  28    2    256
  9  28    3    546
  9  29    2    264
  9  29    3    564
  9  30    2    272
  9  30    3    582
  9  31    2    280
  9  32    2    288
  9  33    2    296
  9  34    2    304
  9  35    2    312
  9  36    2    320
  9  37    2    328
  9  38    2    336
  9  39    2    344
  9  40    2    352
  9  41    2    360
  9  42    2    368
  9  43    2    376
  9  44    2    384
  9  45    2    392
  9  46    2    400
  9  47    2    408
  9  48    2    416
  9  49    2    424
  9  50    2    432
  9  51    2    440
  9  52    2    448
  9  53    2    456
  9  54    2    464
  9  55    2    472
  9  56    2    480
  9  57    2    488
  9  58    2    496
  9  59    2    504
  9  60    2    512
  9  61    2    520
  9  62    2    528
  9  63    2    536
  9  64    2    544
  9  65    2    552
  9  66    2    560
  9  67    2    568
  9  68    2    576
  9  69    2    584
  9  70    2    592
 10   1    2     44
 10   1    3     66
 10   1    4     88
 10   1    5    110
 10   1    6    132
 10   1    7    154
 10   1    8    176
 10   1    9    198
 10   1   10    220
 10   1   11    242
 10   1   12    264
 10   1   13    286
 10   1   14    308
 10   1   15    330
 10   1   16    352
 10   1   17    374
 10   1   18    396
 10   1   19    418
 10   1   20    440
 10   1   21    462
 10   1   22    484
 10   1   23    506
 10   1   24    528
 10   1   25    550
 10   1   26    572
 10   1   27    594
 10   2    2     52
